id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
1388406,2023,Colombo,2023/09/11,India,Pakistan,Pakistan,field,normal,0,India,228,0,V Kohli,"R Premadasa Stadium, Colombo",CB Gaffaney,RSA Palliyaguruge,RK Illingworth
1388394,2023,Kandy,2023/09/02,India,Pakistan,India,bat,normal,0,,0,0,,Pallekele International Cricket Stadium,RK Illingworth,RSA Palliyaguruge,P Wilson
1144504,2019,Manchester,2019/06/16,India,Pakistan,Pakistan,field,D/L,1,India,89,0,RG Sharma,Old Trafford,BNJ Oxenford,M Erasmus,JS Wilson
1153251,2018,,2018/09/23,Pakistan,India,Pakistan,bat,normal,0,India,0,9,S Dhawan,Dubai International Cricket Stadium,RJ Tucker,RSA Palliyaguruge,GO Brathwaite
1153247,2018,,2018/09/19,Pakistan,India,Pakistan,bat,normal,0,India,0,8,B Kumar,Dubai International Cricket Stadium,M Erasmus,RSA Palliyaguruge,GO Brathwaite
1022375,2017,London,2017/06/18,India,Pakistan,India,field,normal,0,Pakistan,180,0,Fakhar Zaman,Kennington Oval,M Erasmus,RA Kettleborough,RJ Tucker
1022353,2017,Birmingham,2017/06/04,India,Pakistan,Pakistan,field,D/L,1,India,124,0,Yuvraj Singh,Edgbaston,HDPK Dharmasena,M Erasmus,RA Kettleborough
656405,2014/15,,2015/02/15,India,Pakistan,India,bat,normal,0,India,76,0,V Kohli,Adelaide Oval,IJ Gould,RA Kettleborough,SJ Davis
710301,2013/14,Mirpur,2014/03/02,India,Pakistan,Pakistan,field,normal,0,Pakistan,0,1,Mohammad Hafeez,Shere Bangla National Stadium,NJ Llong,BNJ Oxenford,RR Wimalasiri
578623,2013,Birmingham,2013/06/15,India,Pakistan,India,field,D/L,1,India,0,8,B Kumar,Edgbaston,IJ Gould,RA Kettleborough,HDPK Dharmasena
589310,2012/13,Delhi,2013/01/06,India,Pakistan,India,bat,normal,0,India,10,0,MS Dhoni,Feroz Shah Kotla,S Asnani,BF Bowden,VA Kulkarni
589309,2012/13,Kolkata,2013/01/03,India,Pakistan,India,field,normal,0,Pakistan,85,0,Nasir Jamshed,Eden Gardens,BF Bowden,VA Kulkarni,S Ravi
589308,2012/13,Chennai,2012/12/30,India,Pakistan,Pakistan,field,normal,0,Pakistan,0,6,MS Dhoni,"MA Chidambaram Stadium, Chepauk",BF Bowden,S Ravi,S Asnani
535798,2011/12,Mirpur,2012/03/18,India,Pakistan,Pakistan,bat,normal,0,India,0,6,V Kohli,Shere Bangla National Stadium,SJ Davis,IJ Gould,Sharfuddoula
433605,2010/11,Chandigarh,2011/03/30,India,Pakistan,India,bat,normal,0,India,29,0,SR Tendulkar,"Punjab Cricket Association Stadium, Mohali",IJ Gould,SJA Taufel,BF Bowden
455234,2010,,2010/06/19,India,Pakistan,Pakistan,bat,normal,0,India,0,3,G Gambhir,Rangiri Dambulla International Stadium,BF Bowden,BR Doctrove,Sharfuddoula
415278,2009/10,Centurion,2009/09/26,India,Pakistan,Pakistan,bat,normal,0,Pakistan,54,0,Shoaib Malik,SuperSport Park,SJ Davis,SJA Taufel,IJ Gould
335355,2008,Karachi,2008/07/02,Pakistan,India,India,bat,normal,0,Pakistan,0,8,Younis Khan,National Stadium,IJ Gould,AL Hill,AFM Akhtaruddin
335351,2008,Karachi,2008/06/26,Pakistan,India,Pakistan,bat,normal,0,India,0,6,SK Raina,National Stadium,AL Hill,BG Jerling,AFM Akhtaruddin
