,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Date,Sector,Description,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Date,Sector,Description,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Date,Sector,Description,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Date,Sector,Description
,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,min,min,min,min,max,max,max,max,max,max,max,max,max,max,max,std,std,std,std,std,std,std,std,std,std,std
Ticker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,194.03237352784788,195.83777392403306,192.45405215360339,194.27207409837848,56993240.65407555,0.00389662027833002,0.0,,,,,142.93850860687647,145.24524759786468,142.46329007120497,143.8592071533203,23234700.0,0.0,0.0,,,,,257.90642916266114,259.81433504408284,257.34704665632455,258.7355041503906,318679900.0,0.25,0.0,,,,,27.13105118022643,27.42792920449321,26.77458938238857,27.175552231474622,24716285.860146523,0.030688079373697545,0.0,,,,
ADDYY,105.45011697635873,106.34044417028868,104.63020274355503,105.55096418862314,60556.92445328032,0.0015208747514910536,0.0,,,,,71.62570017293156,72.01286550570796,70.85136950737875,71.73490142822266,1433.0,0.0,0.0,,,,,136.2100067138672,137.5,136.2100067138672,136.35000610351562,1285900.0,0.386,0.0,,,,,16.699780481564773,16.773477194991735,16.548815705165016,16.641033773081826,109334.54864329995,0.02409615246002382,0.0,,,,
AXISBANK.NS,1055.3873496855924,1065.7334698878824,1044.648565478859,1055.1560591264204,10123944.06060606,0.006060606060606061,0.0,,,,,819.1812450584157,833.3411987646429,812.0015555097954,821.7240600585938,460781.0,0.0,0.0,,,,,1316.699951171875,1339.6500244140625,1305.0,1317.300048828125,46136295.0,1.0,0.0,,,,,117.05173246013631,118.73679440834799,115.11674228225544,116.85921080013318,5361162.294851027,0.0776921437081249,0.0,,,,
BUD,58.773768197160145,59.08017905054547,58.43581332517346,58.75484895042586,1919840.805168986,0.003371769383697813,0.0,,,,,46.150001525878906,46.63999938964844,45.939998626708984,46.150001525878906,509300.0,0.0,0.0,,,,,67.37999725341797,67.48999786376953,66.91999816894531,67.41999816894531,11902900.0,0.872,0.0,,,,,4.449204394984612,4.4631229144666955,4.468605925662623,4.48746572677147,1058998.935389255,0.053440242516008644,0.0,,,,
DIS,96.82081868070513,97.75839701699186,95.95548107872636,96.86307475581084,11571370.502982108,0.002485089463220676,0.0,,,,,78.13475088154144,78.81633955963704,77.76927693835748,78.3520736694336,2475000.0,0.0,0.0,,,,,121.1715779059139,122.62837267602968,120.11119000071024,121.71663665771484,60558400.0,0.5,0.0,,,,,10.485462375788234,10.644057623920485,10.414217615326248,10.536666819089417,6592103.148542364,0.03277940388514845,0.0,,,,
FDIS,77.92120242291286,78.43469276235594,77.4331326008681,77.96289603231442,82923.12326043738,0.002566600397614314,0.0,0.0,,,,59.05868632449855,60.484987772248495,58.655387656740835,59.8062629699707,24900.0,0.0,0.0,0.0,,,,104.10895250087624,104.22875320462492,103.30036110560177,104.0590362548828,2497500.0,0.174,0.0,0.0,,,,10.686992378441163,10.711169085061885,10.630708863152147,10.664373274337867,123561.31911122787,0.020261513321689965,0.0,0.0,,,
FXD,57.390956632169775,57.740321954983216,57.046068802395205,57.39547145532566,129453.10337972167,0.001962226640159046,0.0,0.0,,,,46.67292182159706,47.038634036241405,46.1984819599698,46.247901916503906,4700.0,0.0,0.0,0.0,,,,68.63717010477535,68.68702583039762,68.09876169849744,68.31810760498047,19511200.0,0.199,0.0,0.0,,,,5.540147736882906,5.521077167390606,5.555108130817298,5.537189201279586,878953.9874656841,0.016766636045290217,0.0,0.0,,,
GOOGL,146.42990271415223,148.06330243985678,145.04010771840458,146.58327626708012,29239975.232604373,0.0011928429423459245,0.0,,,,,89.00734406302703,89.5653167008038,88.26005085355271,88.80805969238281,10242100.0,0.0,0.0,,,,,203.38999938964844,207.0500030517578,202.80999755859375,206.3800048828125,84366200.0,0.2,0.0,,,,,27.776072053444818,27.99910026451406,27.50863659789248,27.723929857403057,11373467.448974026,0.015414866720317897,0.0,,,,
